truth_case,truth_family,truth_param_1,truth_param_2,noise_fraction,noise_pct,realizations,master_seed,spawn_key,pool_size,correct_pool_count_including_truth,wrong_pool_count,correct_selection_fraction,median_margin,p05_margin,p95_margin
MPL-discriminated,MPL,3.6,0.2,0.01,1.0,1000,20260911,0,700,701,700,1.0,0.11080546965809826,0.10244868122709683,0.11483594766797064
MPL-discriminated,MPL,3.6,0.2,0.01,1.0,1000,20260911,0,1000,1001,1000,1.0,0.11080546965809826,0.10244868122709683,0.11483594766797064
MPL-discriminated,MPL,3.6,0.2,0.03,3.0,1000,20260911,1,700,701,700,1.0,0.08541346098220053,0.07331940597415262,0.09327000113576983
MPL-discriminated,MPL,3.6,0.2,0.03,3.0,1000,20260911,1,1000,1001,1000,1.0,0.08541346098220053,0.07331940597415262,0.09327000113576983
MPL-discriminated,MPL,3.6,0.2,0.05,5.0,1000,20260911,2,700,701,700,1.0,0.07019512792959301,0.05531328679011258,0.07847013922737167
MPL-discriminated,MPL,3.6,0.2,0.05,5.0,1000,20260911,2,1000,1001,1000,1.0,0.07019512792959301,0.05531328679011258,0.07847013922737167
LN-near-degenerate,LN,0.15,1.5,0.01,1.0,1000,20260911,3,700,701,700,0.767,0.002647060656124389,-0.0028354418251263463,0.007275377972444444
LN-near-degenerate,LN,0.15,1.5,0.01,1.0,1000,20260911,3,1000,1001,1000,0.767,0.0026470606561352257,-0.0028354418251263463,0.007275377972444444
LN-near-degenerate,LN,0.15,1.5,0.03,3.0,1000,20260911,4,700,701,700,0.518,0.00019652084226834746,-0.010252207798759818,0.016212927505601923
LN-near-degenerate,LN,0.15,1.5,0.03,3.0,1000,20260911,4,1000,1001,1000,0.518,0.00019652084226834746,-0.010252207798759818,0.016212927505601923
LN-near-degenerate,LN,0.15,1.5,0.05,5.0,1000,20260911,5,700,701,700,0.585,0.0010322917706551485,-0.007398616167562247,0.023527841598760885
LN-near-degenerate,LN,0.15,1.5,0.05,5.0,1000,20260911,5,1000,1001,1000,0.585,0.0010322917706551485,-0.007398616167562247,0.023527841598760885
