truth_family,truth_param_1,truth_param_2,criterion,retrieval_family,candidate_param_1,candidate_param_2,baseline_E_joint,check_E_joint,abs_delta_E_joint,truth_cext_rel_delta,candidate_cext_rel_delta,truth_g_abs_delta,candidate_g_abs_delta,truth_phase_rms_log_delta,truth_DoLP_rms_delta
MPL,3.0,0.2,joint,LN,0.01617968284648141,5.950000000000001,0.15829697125569692,0.15829697125569248,4.440892098500626e-15,0.0,0.0,0.0,0.0,4.155010824393285e-14,1.0661372044395999e-13
MPL,3.0,0.2,scalar,LN,0.02811706625951745,5.200000000000001,0.16090084369143,0.16090084369142155,8.465450562766819e-15,0.0,0.0,0.0,0.0,4.155010824393285e-14,1.0661372044395999e-13
MPL,3.3,0.2,joint,LN,0.021328975940079625,4.85,0.13364244299595687,0.13364244299592792,2.8949065367100957e-14,0.0,0.0,0.0,0.0,7.565056871346045e-14,3.077741466767237e-13
MPL,3.3,0.2,scalar,LN,0.014091914656322266,5.35,0.16866088532945245,0.16866088532944498,7.466249840604178e-15,0.0,0.0,0.0,0.0,7.565056871346045e-14,3.077741466767237e-13
MPL,3.6,0.2,joint,LN,0.019905358527674864,4.4,0.12811225757380437,0.12811225757376493,3.9440672949808686e-14,0.0,0.0,0.0,1.1102230246251565e-16,1.7813080669388196e-13,6.664523773846546e-13
MPL,3.6,0.2,scalar,LN,0.019905358527674864,4.4,0.12811225757380437,0.12811225757376493,3.9440672949808686e-14,0.0,0.0,0.0,1.1102230246251565e-16,1.7813080669388196e-13,6.664523773846546e-13
MPL,3.9,0.2,joint,LN,0.019905358527674864,4.0,0.14946682443305456,0.1494668244330583,3.747002708109903e-15,-2.220446049250313e-16,-2.220446049250313e-16,5.551115123125783e-16,0.0,3.4425215799840375e-13,1.1394830237337873e-12
MPL,3.9,0.2,scalar,LN,0.012273544578425154,4.45,0.2966727410750517,0.296672741075094,4.2299497238218464e-14,-2.220446049250313e-16,0.0,5.551115123125783e-16,1.1102230246251565e-16,3.4425215799840375e-13,1.1394830237337873e-12
MPL,4.2,0.2,joint,LN,0.021328975940079625,3.6500000000000004,0.19133740335136137,0.19133740335144542,8.404388296412435e-14,-2.220446049250313e-16,-1.1102230246251565e-16,1.3322676295501878e-15,4.440892098500626e-16,5.71894887814083e-13,1.6755458066286246e-12
MPL,4.2,0.2,scalar,LN,0.018576761454858617,3.7500000000000004,0.20704321928725686,0.20704321928734598,8.912315330178444e-14,-2.220446049250313e-16,0.0,1.3322676295501878e-15,3.3306690738754696e-16,5.71894887814083e-13,1.6755458066286246e-12
LN,0.15,1.5,joint,MPL,8.0,0.24388657942532155,0.012072433567842484,0.012072433566770726,1.0717572662688468e-12,-1.942890293094024e-14,-1.9317880628477724e-14,1.177356823145459e-13,9.164197178890277e-14,8.232436118264325e-12,6.082837752352471e-12
LN,0.15,1.5,scalar,MPL,7.949999999999999,0.24388657942532155,0.013401768723528931,0.01340176872241577,1.1131616461934613e-12,-1.942890293094024e-14,-1.8984813721090177e-14,1.177356823145459e-13,9.190564975725124e-14,8.232436118264325e-12,6.082837752352471e-12
LN,0.25,1.8,joint,MPL,6.6,0.5737941165447136,0.13881576455133285,0.13881576455160635,2.735034421164073e-13,-3.552713678800501e-15,-5.995204332975845e-15,1.8818280267396403e-14,3.347322419244847e-14,9.370631858026382e-13,1.8068205885575697e-12
LN,0.25,1.8,scalar,MPL,6.6,0.5737941165447136,0.13881576455133285,0.13881576455160635,2.735034421164073e-13,-3.552713678800501e-15,-5.995204332975845e-15,1.8818280267396403e-14,3.347322419244847e-14,9.370631858026382e-13,1.8068205885575697e-12
LN,0.4,2.1,joint,MPL,4.949999999999999,0.9055778497689979,0.2358244877060241,0.23582448770602096,3.1363800445660672e-15,0.0,-2.220446049250313e-16,5.551115123125783e-16,5.551115123125783e-16,7.707608755114229e-14,2.5450291611823874e-13
LN,0.4,2.1,scalar,MPL,4.949999999999999,0.9055778497689979,0.2358244877060241,0.23582448770602096,3.1363800445660672e-15,0.0,-2.220446049250313e-16,5.551115123125783e-16,5.551115123125783e-16,7.707608755114229e-14,2.5450291611823874e-13
LN,0.65,2.4,joint,MPL,3.95,1.3499705025062343,0.17668800834295356,0.1766880083429549,1.3322676295501878e-15,0.0,0.0,0.0,0.0,1.1601971174465422e-14,4.4612145438542075e-14
LN,0.65,2.4,scalar,MPL,4.2,1.601909277800158,0.2454533271269124,0.24545332712691215,2.498001805406602e-16,0.0,0.0,0.0,0.0,1.1601971174465422e-14,4.4612145438542075e-14
LN,1.0,2.7,joint,MPL,3.4000000000000004,2.13056103166911,0.22961814115451754,0.2296181411545179,3.608224830031759e-16,0.0,0.0,0.0,0.0,2.520112022313386e-15,7.994054025482545e-15
LN,1.0,2.7,scalar,MPL,3.0,1.2751258982610179,0.292830167604954,0.2928301676049544,3.885780586188048e-16,0.0,0.0,0.0,0.0,2.520112022313386e-15,7.994054025482545e-15
